Index,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
571,小骏马韩泰代购,海外,male,Lv.4,16,120,540,2018-12-20 11:35:00,2019-03-20 03:18:33,feed,现货🈶珂润水乳强烈推荐！平价‼️专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，CUREL是日本销量No.1敏感肌肤品牌，95%亚洲女性使用后得到明显改善。,4319264951193860.0,0,0,0
572,XY-NN,其他,female,Lv.33,639,4141,3714,2018-12-20 11:27:00,2019-03-20 03:18:39,feed,日本好用の面霜推荐Curel珂润面霜，平价但是贵妇都夸好的面霜。成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，适合换季，便宜又好用的面霜，保湿性超好​,4319257879611163.0,0,0,0
573,蝴蝶慢慢飞阿嚏,北京东城区,female,Lv.21,309,303,3682,2018-12-20 10:59:00,2019-03-20 03:18:42,feed,#2018空瓶#Curel面霜好像还是第一次挖空，每次都是用到最后一点过敏好了不用了，过一阵再打开好像就会变质变味然后扔掉还有俩囤货，干敏皮安心必备。欧莱雅这款生发精华已经是第三瓶了，应该是有点效果吧，第一瓶是配合落健一起用的比较明显。酒精味道比较重，滴管不好使配合个小喷瓶会好些。继​展开全文c,4319251550651537.0,0,0,0
574,英国省钱快报,no location,female,Lv.36,43,109375,25389,2018-12-20 10:34:00,2019-03-20 03:19:41,feed,售价£28.95，Cosme大赏冠军珂润curel浸润保湿敏感肌面霜：O网页链接又是一年过敏季，各种抗敏产品快快准备起来~~对各种肤质都很友好，尤其适合敏感肌肤。乳霜质地，很好吸收，保湿不油腻。修复肌肤和保湿滋润的效果都非常显著~O网页链接,4319240322535372.0,0,0,2
575,桃子老师的护肤彩妆店,海外法国,female,Lv.48,704,9377,13982,2018-12-20 09:50:00,2019-03-20 03:19:43,feed,⚠️日本好用の面霜推荐Curel珂润，165元平价但是贵妇都夸好的面霜，成分在日系面霜中算最简洁的了，对修复皮脂膜有非常好的功效。本身这个系列就是针对敏感干燥肌肤所研发，适合换季，便宜又好用的面霜，保湿性超好【现货日本珂润/CUREL润浸保湿滋养面霜保湿面部身体】现货日本珂润/CUREL润浸保湿滋养面霜保湿面部身体​展开全文c,4319238556956956.0,0,0,0
576,熊羋咪Edwina,四川自贡,female,Lv.17,824,193,4168,2018-12-20 09:43:00,2019-03-20 03:19:49,feed,日本Curel珂润浸润保湿面霜40gO网页链接,4319222806659017.0,0,0,0
577,柠檬超甜甜甜,北京,female,Lv.14,1196,722,242,2018-12-20 08:40:00,2019-03-20 03:19:52,feed,#2018年度爱用#🍑脸部卸妆：植村秀琥珀卸妆油眼唇卸妆：卡尼尔洁面：rafra泡沫洁面/ipsa水润清新洁面喷雾：乐敦cc/艾杜纱胶原蛋白水前精华：黛珂小紫瓶/rtretinotime化妆水：iope天才水美白精华：infinity/雅顿银胶（夜用）护肤油：rmk乳液：excellue面霜：春夏curel/秋冬资生堂百优防​展开全文c,4319077881307400.0,1,5,2
578,Alscy-,北京,female,Lv.4,9,1,69,2018-12-19 23:04:00,2019-03-20 03:19:56,feed,喜欢的几个平价🇯🇵护肤牌子haba是看代购推荐的curel也是种草好久的还有fancl待入手卸妆油dhc唇膏无限回购但瘦腿丸好像对我没作用​,4319071111228855.0,0,0,0
579,幸朔小姐,海南,female,Lv.10,41,122,565,2018-12-19 22:37:00,2019-03-20 03:20:10,feed,一生推，很多美腻小姐姐都喜欢这一款。日本原装进口，日本花王Curel珂润面霜，深入补水，保湿滋润，紧致滋养，细腻Q弹，抗衰修复面霜，敏感肌适用！女神美肌必备，大牌值得信赖【直邮包税，七天无理由退换货】​,4319070838367142.0,0,1,0
580,Victoria_S的格调轻描,安徽芜湖,female,Lv.34,271,461,4457,2018-12-19 22:36:00,2019-03-20 03:20:15,feed,ꫛꫀꪝ❥珂润水乳及面霜水乳1号清爽型，2号滋润都到货。🇯🇵curel珂润水乳珂润的产品非常好用，水150ml，乳液120ml，专门针对敏感肌，干燥肌，用过的都说好！质地偏薄，用完皮肤像喝饱了水一样抗衰，消炎，滋润，让你从根本上解决皮肤问题。它是日本花王研究室专门为敏感肌肤设计的护肤品，C​展开全文c,4319058696096052.0,0,0,0
581,小仙女的傻生活,北京,female,Lv.4,37,43,31,2018-12-19 21:48:00,2019-03-20 03:20:18,feed,#就这一刻#收到礼物啦🎁～一如既往的高颜值➕好用@Curel珂润又多了个呵护身体的神器​​​,4319049607310243.0,0,0,0
582,大狸子汪,广西桂林,female,Lv.9,88,197,727,2018-12-19 21:12:00,2019-03-20 03:20:21,feed,@Curel珂润赤裸裸的骗局啊，水里哪有母菊啊，那个神经什么的水乳里都没有就！本来还想入手，算了！你打着的功效成分都没有，能起到什么作用……失望​,4319018217343617.0,0,0,1
583,白羊座云谈风青,辽宁大连,female,Lv.4,19,54,4983,2018-12-19 19:07:00,2019-03-20 03:20:23,feed,"7.4折,日本Curel珂润浸润保湿面霜40gO网页链接",4319009963272579.0,0,0,0
584,白羊座云谈风青,辽宁大连,female,Lv.4,19,54,4983,2018-12-19 18:34:00,2019-03-20 03:20:25,feed,"7.4折,日本Curel珂润浸润保湿面霜40gO网页链接",4319009815494929.0,0,0,0
585,揭阳搜号网,no location,female,Lv.32,4500,22994,3135,2018-12-19 18:34:00,2019-03-20 03:20:28,feed,保税仓发货日本松本清Curel珂润滋润补水润浸精华保湿面霜女40g【原】168【现】163【下】O网页链接,4318998931191501.0,0,0,0
