,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,ParentMid,Share,Comment,Good
112,杏仁奶芙,None,None,None,None,None,None,None,None,comment,ipsa那个我也喜欢,4327678632682985,None,None,None
113,超话社区,None,None,None,None,None,None,None,None,comment,,4327678632682985,None,None,None
114,滚去学习垃圾,None,None,None,None,None,None,None,None,comment,男生可以用这个嘛,4327639931601963,None,None,None
115,猫妮卡琪琪,None,None,None,None,None,None,None,None,comment,回复@离微哈哈哈:,4327639931601963,None,None,None
116,离微呀,None,None,None,None,None,None,None,None,comment,我也一直在用这个~~,4327639931601963,None,None,None
117,KatherineIin,None,None,None,None,None,None,None,None,comment,,4327625915185453,None,None,None
118,Ace的新里,None,None,None,None,None,None,None,None,comment,幸亏没买，我前一段本想着试试一个新洁面，结果非常难用，我迅速又在网上下单了freeplus…,4327625915185453,None,None,None
119,请你立刻吃屎,None,None,None,None,None,None,None,None,comment,回复@热爱生活的胖胖居:我正常一瓶洗面奶能用大半个学期吧……,4327435992750276,None,None,None
120,你guai给你买条gai66,None,None,None,None,None,None,None,None,comment,你还能用一个月对不起我一个月一瓶大的都不够,4327435992750276,None,None,None
121,请你立刻吃屎,None,None,None,None,None,None,None,None,comment,回复@_偏偏那个时候我最想你:好滴,4327435992750276,None,None,None
122,_偏偏那个时候我最想你,None,None,None,None,None,None,None,None,comment,回复@请你立刻吃屎:下次我找朋友从日本带喊你一个,4327435992750276,None,None,None
123,请你立刻吃屎,None,None,None,None,None,None,None,None,comment,,4327435992750276,None,None,None
124,_偏偏那个时候我最想你,None,None,None,None,None,None,None,None,comment,,4327435992750276,None,None,None
125,张胖了啊,None,None,None,None,None,None,None,None,comment,四天牙刷头就被你刷烂了你发现了吗,4327405411874716,None,None,None
126,Self-discipline39,None,None,None,None,None,None,None,None,comment,,4327405411874716,None,None,None
127,BuBblle_Gum,None,None,None,None,None,None,None,None,comment,回复@Self-discipline39:我说芙丽芳丝,4327405411874716,None,None,None
128,Self-discipline39,None,None,None,None,None,None,None,None,comment,回复@BuBblle_Gum:你是说百雀羚吗？？？,4327405411874716,None,None,None
129,BuBblle_Gum,None,None,None,None,None,None,None,None,comment,,4327405411874716,None,None,None
130,Self-discipline39,None,None,None,None,None,None,None,None,comment,,4327405411874716,None,None,None
131,枫林纱美,None,None,None,None,None,None,None,None,comment,,4327352324826093,None,None,None
132,33林42是不是要考虑换个名儿,None,None,None,None,None,None,None,None,comment,棒呆,4327352324826093,None,None,None
133,夏季的神经,None,None,None,None,None,None,None,None,comment,,4327315137526234,None,None,None
134,气象总会有偏差,None,None,None,None,None,None,None,None,comment,脐带,4327261132317906,None,None,None
135,Lemon的漫长岁月,None,None,None,None,None,None,None,None,comment,Allie升级了,4327261132317906,None,None,None
136,绝对蹦不起来,None,None,None,None,None,None,None,None,comment,allie肯定又是什么更新成膜技术了又或是什么乳化技术更新又或者是什么附着力加强防水又防汗plus,4327261132317906,None,None,None
137,Kanebo-beauty,None,None,None,None,None,None,None,None,comment,,4327261132317906,None,None,None
138,Eryngii_,None,None,None,None,None,None,None,None,comment,回复@朝阳区著名美猫她妈小葵葵:泡多温和洗完不干自带一丢丢卸妆效果还便宜,4327237928451364,None,None,None
139,朝阳区著名美猫她妈小葵葵,None,None,None,None,None,None,None,None,comment,回复@Eryngii_:我搜了代购！怎么个好法,4327237928451364,None,None,None
140,Eryngii_,None,None,None,None,None,None,None,None,comment,boscia的洗面奶好用的！！！,4327237928451364,None,None,None
141,我就吃蛋炒饭,None,None,None,None,None,None,None,None,comment,回复@___爱夏___:不敢不敢,4327232057532227,None,None,None
142,___爱夏___,None,None,None,None,None,None,None,None,comment,精致精致,4327232057532227,None,None,None
143,我就吃蛋炒饭,None,None,None,None,None,None,None,None,comment,,4327232057532227,None,None,None
144,沈什么佳呢,None,None,None,None,None,None,None,None,comment,你还知道这！,4327232057532227,None,None,None
145,我就吃蛋炒饭,None,None,None,None,None,None,None,None,comment,回复@Sugarplease_:没毛病,4327232057532227,None,None,None
146,Sugarplease_,None,None,None,None,None,None,None,None,comment,你还芙丽芳丝呢,4327232057532227,None,None,None
147,每天送袁湘琴上学的江直树,None,None,None,None,None,None,None,None,comment,,4327226717679873,None,None,None
148,单行心帆,None,None,None,None,None,None,None,None,comment,这么多洁面怎么选呀,4327226717679873,None,None,None
149,l_azy_x,None,None,None,None,None,None,None,None,comment,回复@煌粲:有次靠柜试口红用了之后就被种草！！,4327226717679873,None,None,None
150,pkpkpp_,None,None,None,None,None,None,None,None,comment,HR的卸妆液也超级好用啊！,4327226717679873,None,None,None
151,包子咯kk,None,None,None,None,None,None,None,None,comment,回复@onecosme:天秤座伤不起,4327226717679873,None,None,None
152,onecosme,None,None,None,None,None,None,None,None,comment,回复@我的朋友们不爱吃榴莲:,4327226717679873,None,None,None
153,onecosme,None,None,None,None,None,None,None,None,comment,回复@包子咯kk:很难选,4327226717679873,None,None,None
154,onecosme,None,None,None,None,None,None,None,None,comment,回复@ayaaaaaaaa_ww:好好,4327226717679873,None,None,None
155,onecosme,None,None,None,None,None,None,None,None,comment,回复@肖茜Xiao:我也爱的,4327226717679873,None,None,None
156,onecosme,None,None,None,None,None,None,None,None,comment,回复@布游荡的潘达:,4327226717679873,None,None,None
157,我超级想喝奶茶,None,None,None,None,None,None,None,None,comment,大概不是大孩子！,4327041413382812,None,None,None
158,拜托祢了,None,None,None,None,None,None,None,None,comment,,4327029979488104,None,None,None
159,拜托祢了,None,None,None,None,None,None,None,None,comment,,4327029979488104,None,None,None
160,kissux李,None,None,None,None,None,None,None,None,comment,回复@小奶油JIyF:怼鸭！！还超好用,4327029979488104,None,None,None
161,小奶油JIyF,None,None,None,None,None,None,None,None,comment,回复@kissux李:好好看啊！！！！,4327029979488104,None,None,None
162,kissux李,None,None,None,None,None,None,None,None,comment,,4327029979488104,None,None,None
163,小奶油JIyF,None,None,None,None,None,None,None,None,comment,,4327029979488104,None,None,None
164,小奶油JIyF,None,None,None,None,None,None,None,None,comment,,4327029979488104,None,None,None
165,超话社区,None,None,None,None,None,None,None,None,comment,,4327008471454931,None,None,None
166,可爱的小女孩_74258,None,None,None,None,None,None,None,None,comment,,4327002812786026,None,None,None
167,我爱柳叶儿,None,None,None,None,None,None,None,None,comment,我也是很敏感动不动脸红的和苹果一样，还好现在已经修复好了,4327002812786026,None,None,None
168,屈臣氏中国,None,None,None,None,None,None,None,None,comment,您好，您的反馈屈臣氏已收到，建议阁下于周一至周日9:00-21:00拨打我司客服热线8009001380(固话可免费拨打)或手机拨打4008301310(自付市内话费)。感谢阁下对屈臣氏的支持!,4326988812655846,None,None,None
169,砒霜姬,None,None,None,None,None,None,None,None,comment,,4326680019623113,None,None,None
170,玉玺Annabelle,None,None,None,None,None,None,None,None,comment,喜欢sofina,4326680019623113,None,None,None
171,我眼里有星星bling,None,None,None,None,None,None,None,None,comment,求索菲娜弹力精华美容液啊mag！！,4326680019623113,None,None,None
172,爱吃夏威夷果的少女,None,None,None,None,None,None,None,None,comment,好像肉完家上期出的毛衣哎,4326680019623113,None,None,None
173,许小白sLIFE,None,None,None,None,None,None,None,None,comment,哈哈哈可爱的mag,4326680019623113,None,None,None
174,遇见焦安溥,None,None,None,None,None,None,None,None,comment,还会上minon的水吗...,4326680019623113,None,None,None
175,子非鱼喵喵,None,None,None,None,None,None,None,None,comment,会不会上新透白水乳嘛，，，告诉我呗。。,4326680019623113,None,None,None
176,我真係好趣致啊,None,None,None,None,None,None,None,None,comment,可爱mag在线发牌嘻嘻,4326680019623113,None,None,None
177,乌拉吧辣蹦,None,None,None,None,None,None,None,None,comment,哎呀这乐的嘎嘎的,4326680019623113,None,None,None
178,或许你喜欢喝芝士芒芒吗,None,None,None,None,None,None,None,None,comment,我还以为喝酒了,4326680019623113,None,None,None
179,Iglesias_Harrison,None,None,None,None,None,None,None,None,comment,回复@Sevencece:哈哈哈哈哈哈哈那里笑死，老司机这个形容竟然可以全球化？？？,4326669247911270,None,None,None
180,Sevencece,None,None,None,None,None,None,None,None,comment,回复@Iglesias_Harrison:说起来这本里面阿走一本正经地思考灰二哥车技变好和某不可描述的关系让我印象很深刻,4326669247911270,None,None,None
181,Iglesias_Harrison,None,None,None,None,None,None,None,None,comment,回复@Sevencece:一定可以的,4326669247911270,None,None,None
182,Sevencece,None,None,None,None,None,None,None,None,comment,回复@Iglesias_Harrison:还能等到五四吗,4326669247911270,None,None,None
183,Iglesias_Harrison,None,None,None,None,None,None,None,None,comment,回复@Sevencece:体能的极限……我又在想以后上五四可不可以达到,4326669247911270,None,None,None
184,Sevencece,None,None,None,None,None,None,None,None,comment,啊我看到花式溜冰这几个字也一瞬间想到这个问题17wc的时候会不会有呢⋯⋯,4326669247911270,None,None,None
185,Iglesias_Harrison,None,None,None,None,None,None,None,None,comment,回复@伊桑顾·:爱您！！！💕💞💓💗💖💘,4326669247911270,None,None,None
186,伊桑顾·,None,None,None,None,None,None,None,None,comment,None or emoji,4326669247911270,None,None,None
187,斯普特尼克er,None,None,None,None,None,None,None,None,comment,,4326660939106795,None,None,None
188,-阿岛啊-,None,None,None,None,None,None,None,None,comment,回复@斯普特尼克鹅:sesderma精华真的好用啊！！,4326660939106795,None,None,None
189,-阿岛啊-,None,None,None,None,None,None,None,None,comment,,4326660939106795,None,None,None
190,斯普特尼克er,None,None,None,None,None,None,None,None,comment,,4326660939106795,None,None,None
191,斯普特尼克er,None,None,None,None,None,None,None,None,comment,,4326660939106795,None,None,None
192,眼睛是最平静的湖,None,None,None,None,None,None,None,None,comment,确实很好用，但是我觉得冬天用稍微有点干,4326647635644406,None,None,None
193,天天梦奇,None,None,None,None,None,None,None,None,comment,好用,4326647635644406,None,None,None
194,努力努力再努力塑料大仙,None,None,None,None,None,None,None,None,comment,,4326615163241124,None,None,None
195,橙家妹子是我啊,None,None,None,None,None,None,None,None,comment,,4326615163241124,None,None,None
196,你的芒果甜ma,None,None,None,None,None,None,None,None,comment,@泡泡糖厂牌,4326610649413739,None,None,None
197,被小黄人萌倒的Jia筱莹,None,None,None,None,None,None,None,None,comment,None or emoji,4326610649413739,None,None,None
198,Qin--LLLLLLL,None,None,None,None,None,None,None,None,comment,肌肤哲理那个有泵头的，不难挤,4326610649413739,None,None,None
199,妖妖是个小可爱,None,None,None,None,None,None,None,None,comment,我觉得三草两木的不错,4326610649413739,None,None,None
200,yu333333333,None,None,None,None,None,None,None,None,comment,氨基酸洁面只要浓度够了清洁力没问题的,4326610649413739,None,None,None
201,满河星AA,None,None,None,None,None,None,None,None,comment,话说雅漾的舒敏无菌的洁面木有测啊。想试试哎。不知道干不干,4326610649413739,None,None,None
202,和吹吹的日常,None,None,None,None,None,None,None,None,comment,,4326610649413739,None,None,None
203,Royalleo,None,None,None,None,None,None,None,None,comment,我的香奈儿被扣在了帝都机场,4326610649413739,None,None,None
204,瞐呦Mia,None,None,None,None,None,None,None,None,comment,@俊水木,4326610649413739,None,None,None
205,李校长和小红,None,None,None,None,None,None,None,None,comment,@seven龙小猫,4326610649413739,None,None,None
206,联合利华消费者互动中心,None,None,None,None,None,None,None,None,comment,您好，我是联合利华消费者互动中心的微博客服专员。能有机会进一步地了解您的感受对我们来说非常重要，稍后我们会私信您。非常感谢！,4326548926187941,None,None,None
207,你是哪块小饼干12,None,None,None,None,None,None,None,None,comment,,4326548926187941,None,None,None
208,西瓜菠萝芒果君,None,None,None,None,None,None,None,None,comment,,4326548926187941,None,None,None
209,你是哪块小饼干12,None,None,None,None,None,None,None,None,comment,freeplus成分不好哦,4326548926187941,None,None,None
210,谁说Monkey不吃糖,None,None,None,None,None,None,None,None,comment,,4326522355411173,None,None,None
211,__请叫我布布布,None,None,None,None,None,None,None,None,comment,,4326339089401283,None,None,None
212,喝奶的鳄鱼,None,None,None,None,None,None,None,None,comment,,4326339089401283,None,None,None
213,清欢渡风不渡我,None,None,None,None,None,None,None,None,comment,回复@好暖好烫:高曝光等于十级美颜,4326332336834601,None,None,None
214,好暖好烫,None,None,None,None,None,None,None,None,comment,最后附上一张美照,4326332336834601,None,None,None
215,清欢渡风不渡我,None,None,None,None,None,None,None,None,comment,最后还是freeplus胜出,4326332336834601,None,None,None
216,路痴今天拿offer了吗,None,None,None,None,None,None,None,None,comment,这个是我爱用品,4326309209446832,None,None,None
217,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4326289269478563,None,None,None
218,虾油露蘸白切肉,None,None,None,None,None,None,None,None,comment,回复@毛毛北海道日本代购:清爽+1,4326289269478563,None,None,None
219,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,,4326289269478563,None,None,None
220,毛毛北海道日本代购,None,None,None,None,None,None,None,None,comment,回复@虾油露蘸白切肉:有清爽型哦,4326289269478563,None,None,None
221,虾油露蘸白切肉,None,None,None,None,None,None,None,None,comment,是清爽型嘛？,4326289269478563,None,None,None
222,凉初辞,None,None,None,None,None,None,None,None,comment,回复@小圆圆脑袋:万通，下周考试,4326264461059759,None,None,None
223,小圆圆脑袋,None,None,None,None,None,None,None,None,comment,回复@小圆圆脑袋:科二还没考吗，最好寒假考出来，以后时间就少了，你在哪里学的,4326264461059759,None,None,None
224,凉初辞,None,None,None,None,None,None,None,None,comment,回复@小圆圆脑袋:科二，说前几天说车坏了，还有一天下雪，耽误好多考试的，这个寒假不知道我还能安排上考试不,4326264461059759,None,None,None
225,小圆圆脑袋,None,None,None,None,None,None,None,None,comment,回复@小圆圆脑袋:加油，，这个假期赶紧学出来就好了，现在科几了,4326264461059759,None,None,None
226,凉初辞,None,None,None,None,None,None,None,None,comment,回复@小圆圆脑袋:要是不学车的话就可以干个兼职赚一点了,4326264461059759,None,None,None
227,小圆圆脑袋,None,None,None,None,None,None,None,None,comment,同感，，没钱😭,4326264461059759,None,None,None
228,内麻木苏给啾酱,None,None,None,None,None,None,None,None,comment,还会上芙丽芳丝的洗面奶么,4326230318923193,None,None,None
229,克莱兒Claire-,None,None,None,None,None,None,None,None,comment,300+,4326206281867085,None,None,None
230,只想做一个爱吃肉的宝宝,None,None,None,None,None,None,None,None,comment,,4326186269935909,None,None,None
231,沉迷养蛙的少女,None,None,None,None,None,None,None,None,comment,回复@追风少女柚安Ann:我给我妈用，她上脸就问我这啥味儿啊，咋买这么个洗面奶啊，从此再也没碰过,4326173239042707,None,None,None
232,追风少女柚安Ann,None,None,None,None,None,None,None,None,comment,我觉得有股奶腥味,4326173239042707,None,None,None
233,雎啾-,None,None,None,None,None,None,None,None,comment,回复@沉迷养蛙的少女:那以后不尝试这个了,4326173239042707,None,None,None
