,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
42,仔姜啤酒丫,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-15 17:35:00,2019-03-14 13:32:58,feed,买了d-program绿隔，要是好用老子要告诉全微博，不好用也告诉。​,4328779599358681,0,2,0
43,xdf吴俊姬,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-15 11:40:00,2019-03-14 13:32:59,feed,百日行动派#姬姐实力提分英语课堂#day677【词汇考查难度升级】Manyscientistsremain________aboutthevalueofthisresearchprogram.A)scepticalB)stationaryC)spaciousD)specific#姬姐每日一题##姬姐讲堂#@新东方​,4328690130917107,1,1,0
44,滴嗒墨墨,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-15 10:40:00,2019-03-14 13:33:01,feed,目前用过的防晒，娇韵诗防晒黄色瓶子的那款，涂完就是油到放光，干皮在大冬天都能发亮的那种，手不小心碰到都会粘糊糊的，本着勤俭节约的原则，我还是用完了。harnn白桑防晒，不太油，涂不好容易搓泥，有点黏，幸好一支不太大，很快造完了。资生堂dprogram小奶瓶，考验手法，容易涂不匀，但是搓​展开全文c,4328675199216559,0,0, 3
45,日本cosme美妆大赏,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-10 17:08:00,2019-03-14 13:33:05,feed,#日本cosme大赏#新年伊始，品牌爸爸们的新（抢）品（钱）战役又双叒叕开始啦！贵妇#迪奥#奶奶这一次重磅推出了抗老化精华油，富含满满营养成分，深层滋养不粘腻，适合偏熟龄的干燥肌肤哦！资生堂爸爸旗下敏感肌最爱的品牌Dprogram，这一次专为敏感唇的小仙女量身打​展开全文c,4326960693550756,3,17, 19
46,青也没了就剩春,no location,no gender,no rank,no follow,no follower,no weibo,2019-01-08 21:18:00,2019-03-14 13:33:07,feed,给JJMM推一个定妆粉资生堂dprogram药妆店给的赠品出乎意料的好用诶！粉质很细用到下午完全不脱妆霓虹的店真的好好逛让我一个懒的连开水都不想烧的女人居然开始想写小红书了2日本·Kyoto​,4326298837238026,0,7,0
47,美妆情报酱呀,no location,no gender,no rank,no follow,no follower,no weibo,not detected,2019-03-14 13:33:10,feed,#日妆新品发售#dprogram1月21日发售：1500円。在干燥的冬季，针对易敏感、受伤害的嘴唇的药用唇部护理美容液，保持唇部光泽和色彩，严选成分的低刺激配方，即使敏感的唇部也能使用的唇彩。​,4324084789966445,20,7, 35
48,别吃啦快看看称,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-27 20:43:00,2019-03-14 13:33:12,feed,消费真的降级了黛珂用完换dprogram下下套是不是就是大宝SOD蜜了​,4321941495557342,0,13, 3
49,李飞,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-25 09:07:00,2019-03-14 13:33:17,feed,李飞做客#新浪财经#直播主题：日经开局暴跌4%，圣诞劫来袭？猛戳围观：http%3A%2F%2Flive.finance.sina.com.cn%2Fbozhu%2F1253205351%2F60733%3Fclient_url%3Dsinafinance%253A%252F%252Ftype%253D25%2526program_type%253D2%2526bid%253D1253205351%2526cid%253D60733​,4321041596081495,0,3, 3
50,讲道理的小姑娘,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-17 15:44:00,2019-03-14 13:34:13,feed,昨天吃饭的时候，奶哥说我最近气色很差，感觉身体一天不如一天了没错，最近大大小小的事情真的多到爆炸💥，未来的一个月都不会有喘息的机会。想起来安老师在开学初给我们的忠告：“你们唯一的目标就是survivefromthePh.Dprogram.”当时没觉得有什么，可现在的我深以为然​,4318242258352571,0,2, 2
51,三米西西,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-13 15:34:00,2019-03-14 13:34:16,feed,新拆4/100🥐纱荣子的月抛使用感一般有一点点的滑片🥐skII精华好用！但是这个价位目前还没有感觉出来其他🥐dprogram和蜡烛还没有什么体会今天是早睡早起的第5天呐​,4316790336968317,0,0, 1
52,hhhoyiman,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-12 00:30:00,2019-03-14 13:34:18,feed,种草dprogram！​,4316200450129317,0,4,0
53,narakarlin,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-11 18:13:00,2019-03-14 13:34:21,feed,针对tomcat的bin目录下的startup.bat闪退问题：解决方法：在已解压的tomcat的bin文件夹下分别找到startup.bat和shutdown.bat，右击->编辑。在文件头加入下面两行：SETJAVA_HOME=C:\ProgramFiles\Java\jdk-11.0.1（javajdk目录）SETTOMCAT_HOME=D:\ProgramFiles(x86)\apache-tomcat-7.0.92（​展开全文c,4316105612505643,0,3, 1
54,姆巴佩同学,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-06 08:13:00,2019-03-14 13:34:24,feed,Theprogram...CWindowssystem32D3dx939属性安全编辑～全部允许。应用确定。2苏州·华侨花苑(人民路)​,4314142577316700,0,0,0
55,亨利_很暴躁,no location,no gender,no rank,no follow,no follower,no weibo,2018-12-02 23:12:00,2019-03-14 13:34:26,feed,好种草桃子化妆水和面霜啊！可是我的dprogram还没用完！啊啊啊！​,4312919363537077,0,0, 1
56,akumiiiio,no location,no gender,no rank,no follow,no follower,no weibo,2018-09-23 00:20:00,2019-03-14 13:34:28,feed,因为入了duo把刚入手的dprogram转给朋友了的超敏感肌，瑟瑟发抖,4311430327225656,0,6,0
