,Account,Location,Gender,Rank,Follow,Follower,Weibo,FeedTime,GetTime,Type,Sentence,Mid,Share,Comment,Good
254,豆沙玫瑰色,山东,female,Lv.35,197,159,1814,2017-09-10 18:16:00,2019-03-18 16:12:23,feed,目前水乳的范围锁定在curel&minon&haba之间，看成份已经比其他的水乳要好很多了，安全系数4至5分，但是吧，翻评论的时候发现有人用珂润会长闭口，有人说minon只适合干皮并且水是辐射地区的？还有人用haba太干红血丝会加重……所以有没有混油敏感的妹子用过以上来说说感受……​,4150495063328311,0,161, 28
255,亚希chan,四川泸州,female,Lv.39,246,924,4597,2017-09-10 14:39:00,2019-03-18 16:12:28,feed,curel珂润活动现场，天津交流会💐2天津·煮梦记DayDreamer​,4150440419685851,0,0,0
256,爆米花骨朵er,海外新加坡,female,Lv.15,214,82,252,2017-09-09 07:24:00,2019-03-18 16:12:34,feed,求推荐，Curel、Freeplus、Ipsa还有Fancl的洗脸粉哪个好用啊？我是敏感加痘痘肌，求大神指点2新加坡​,4149968665103563,0,21, 2
257,桐Kiriiiiiii,海外英国,female,Lv.34,272,251,3876,2017-09-08 22:35:00,2019-03-18 16:12:38,feed,贵bigWuhan城乡结合部屈臣氏居然也有Curel专柜了，打完折感天动地​,4149835386653369,0,0, 1
258,岑杏賢_Jennifer,香港,female,Lv.21,227,25722,454,2017-09-08 11:16:00,2019-03-18 16:12:42,feed,和大家分享昨天出席Curel的照片​,4149664640905681,3,10, 110
259,hxyiu,其他,female,Lv.14,34,67,295,2017-08-28 14:02:00,2019-03-18 16:12:46,feed,都很好(✪▽✪)#Curel##敏感肌肤#​,4145720083218876,0,0, 2
260,宠儿_加油,其他,female,Lv.34,47,11,1459,2017-08-25 22:00:00,2019-03-18 16:12:51,feed,最近迷上curel从头到脚哇​,4144753090260479,0,0,0
261,骄傲的瓶子keepkarryon,海外其他,female,Lv.38,376,403,10890,2017-08-24 21:42:00,2019-03-18 16:13:00,feed,#空瓶#curel防晒乳，去年留到今年。曾经不太喜欢，今夏到觉得还不错用。重点是不会拔干，基本是curel上脸，身体安耐晒小金瓶或者碧柔儿童户外防晒。可以回购哦​,4144386273580176,2,9, 3
262,哼我才是炸鸡,上海闵行区,female,Lv.41,508,608,4585,2017-08-19 20:18:00,2019-03-18 16:13:07,feed,#空瓶#缺点：很难很难推开用完感觉自己会长皱纹优点：乳化快洗的干净不假滑不致痘上脸会发热挺舒服的总结：实在太鸡儿难推不如用curel​,4142553131967541,0,0,0
263,臭臭小毛坨,湖南,female,Lv.35,593,4644,1033,2017-08-10 22:02:00,2019-03-18 16:13:15,feed,在尝试了三款洁面以后，再次用回了curel​,4139317876050982,0,3, 2
264,凱西木子,no location,female,no rank,79,519,6523,2017-08-03 18:11:00,2019-03-18 16:14:25,feed,這支Curel潤唇膏必須大力推薦！話說我超討厭在唇上塗任何東西所以這次旅行沒有帶任何潤唇膏。想說是夏天應該不會太乾啦！怎知在機上睡不好去到超旅館睡不好又晨早要起身趕行程。我的嘴唇從第一天開始極度乾燥（依然堅拒買潤唇膏塗）到第四天嘴唇已經又乾又紅又腫又脫皮像煎了的香腸連吃喝張嘴說​展开全文c,4136723082306944,0,0, 1
265,-lilicochan-,海外美国,female,Lv.38,335,21782,746,2017-08-03 13:12:00,2019-03-18 16:16:46,feed,"猜猜我在哪哈哈哈哈Goodbye,curelworld~[噢耶]​",4136647849035889,0,28, 10
266,雪末儿Sarah,广东广州,female,Lv.14,80,38,55,2017-07-31 10:50:00,2019-03-18 16:16:51,feed,Unbelieveable.It'scurelofthem!L揭秘印尼猫屎咖啡产业背后的残忍真相@柚子木字幕组​,4135524903871419,0,0,0
267,Conan柯南君,no location,female,no rank,314,1009031,567,2017-07-25 18:29:00,2019-03-18 16:17:31,feed,可以说是见鬼了😱我心目中数一数二的珂润泡沫居然也没有单独的repo，我记得我写过的呀。。。某浪深深地伤害了我💦curel浸润保湿洁面泡沫💦爆款不多说，简短表白，清洁力虽然不是很强，但清洁力、温和度、使用感三者平衡，在我心目中直泡型数一数二的地位，而且泵头质量特别好。​,4133466000164895,35,51, 60
268,__Jae_,其他,female,Lv.47,213,20833,677,2017-07-15 17:55:00,2019-03-18 16:17:36,feed,收拾东西竟然把它收拾出来就是文里提到的那只Curel，春秋冬可用。物理防晒很安心早就空了。​,4129833648132629,1,13, 8
269,beingboring5,no location,female,no rank,670,2421,2305,2017-07-14 08:10:00,2019-03-18 16:17:43,feed,改成晚上只用curel卸妆+棉柔巾，早上只用清水后，皮变坚韧多了。​,4129324003096189,0,10, 9
270,张大饼是你吗,浙江,male,Lv.44,841,380,4470,2017-07-13 19:20:00,2019-03-18 16:17:47,feed,#Curel珂润面霜#油皮用的表示很清爽，其他啥感觉也没有……​,4129130251467739,0,1, 1
271,我制造的那些垃圾,海外日本,female,Lv.13,190,66,111,2017-07-13 14:59:00,2019-03-18 16:17:50,feed,curel洗面奶，无功无过吧，用完了。扔掉。​,4129064509699964,0,0,0
272,是阿飞sf,浙江金华,female,Lv.14,454,211,565,2017-07-12 22:12:00,2019-03-18 16:17:57,feed,努力不就为了那一点点奖励#Curel#​,4128811232514370,0,2, 1
273,沐汐陌以,吉林,female,Lv.14,991,256,5919,2017-07-11 10:41:00,2019-03-18 16:18:02,feed,我昨天晚上做梦，梦见你让我帮你做测试，珂润influential皮肤测试，笑死我了，你连珂润都不知道是啥@Curel珂润​,4128274869150163,0,0, 1
274,objRange,上海徐汇区,male,Lv.38,300,383,809,2017-07-08 04:53:00,2019-03-18 16:18:07,feed,囤curel的时候，顺手把兔兔买了。嗯。今天应该就能抱上了吧。​,4127100082529022,0,0,0
275,我真的非常可爱了,上海,female,Lv.9,414,57,507,2017-07-06 21:22:00,2019-03-18 16:18:12,feed,curel的沐浴露，还不错，也是带去健身房的，是透明的很水的那种质地，不会刻意买，但挺喜欢​,4126624142841607,0,0,0
276,一條熱河_,其他,female,Lv.26,818,137,419,2017-06-22 22:20:00,2019-03-18 16:18:17,feed,"Day12.☞复习☞练琴☞发呆Conclusion:Allmyprayershaveneverbeenanswered.Life'salwayssocurelandhardforme,soIwon'taskanymore,Iwon'tdothatanymore.​",4121565371369174,0,5, 3
